"Tweet" "Country" "Words" "AFScore" "BingScore" "NumWords" "AFINNcats"
"2420" "Braves get Soler back for NLCS after positive COVID-19 test https://t.co/I9RQaTEAAd https://t.co/1Y8DKDLJic" "RSA" "positive" 2 "positive" 1 "[1;3)"
"2439" "Pfizer, BioNTech say COVID-19 booster highly effective https://t.co/UYcEWu1Mbx https://t.co/aWztfUdep1" "RSA" "effective" 2 "positive" 1 "[1;3)"
"2448" "PM resists calls to activate plan B as daily Covid cases top 50,000 https://t.co/S5tNNrrZpu #NEWS https://t.co/mBeyLSoNUn" "RSA" "top" 2 "positive" 1 "[1;3)"
"2450" "@LadyJayPersists Why don't they pay tribute to the many more police officers who have lost their lives to Covid 19?" "RSA" "lost_pay" -2 "negative" 2 "(-3;-1]"
"2453" "why helping people pay rent can fight the pandemic https://t.co/ty0GOuYI2x" "RSA" "fight_helping_pay" 0 "positive" 3 "0"
"2459" "Strictly's Judi Love forced to pull out of show after testing positive for Covid-19 https://t.co/wTZJtPMuzL https://t.co/E7ZPmnYtAW" "RSA" "forced_love_positive" 1 "positive" 3 "[1;3)"
"2468" "Ask Dr. Jane: COVID, PCR Tests, Vaxx, DETOX, Poisoning &amp;amp; Criminal Proof: https://t.co/OJuTORt4Vo" "RSA" "criminal" -3 "negative" 1 "[-5;-3]"
"2492" "What happens when travelers test positive for Covid on vacation? https://t.co/eDP7VJQrlT #NEWS https://t.co/69RhOvSLV2" "RSA" "positive" 2 "positive" 1 "[1;3)"
"2502" "Supreme Court Won't Block COVID Vaccine Mandate for Christian Health Care Workers 
 https://t.co/6SI5bXmXcS
via @LifeNewsHQ" "RSA" "block_care" 0 "positive" 2 "0"
"2511" "Why helping people pay rent can fight the pandemic https://t.co/qwMfoOmSkv https://t.co/hi5JU2N0Ze" "RSA" "fight_helping_pay" 0 "positive" 3 "0"
"2513" "New story on #NPR: Why helping people pay rent can fight the pandemic https://t.co/mozlKGvIzp" "RSA" "fight_helping_pay" 0 "positive" 3 "0"
"2532" "Only 14% of promised Covid vaccine doses reach poorest nations https://t.co/QgwQ43xLd7 #NEWS https://t.co/kb6VfioWgy" "RSA" "poorest_promised_reach" 0 "neutral" 3 "0"
"2535" "@f1redwards @dionnewarwick COVID killed it." "RSA" "killed" -3 "negative" 1 "[-5;-3]"
"2540" "Since Freedom has become plural, will the world return to post Covid normals?" "RSA" "freedom" 2 "positive" 1 "[1;3)"
"2544" "Nurse reveals how she pranks Covid deniers who call her a crisis actor https://t.co/fmUyXK6wYi via @YouTube" "RSA" "crisis_deniers" -2 "negative" 2 "(-3;-1]"
"2545" "Police who refused vaccination publicize their farewells https://t.co/pPtkB6oyXT #NEWS https://t.co/S6gORWrL63" "RSA" "refused" -2 "negative" 1 "(-3;-1]"
"2559" "Covid: WHO warns pandemic will drag on into 2022 https://t.co/cwMayPgQOy #NEWS https://t.co/rAOZSvbCom" "RSA" "drag_warns" -2 "negative" 2 "(-3;-1]"
"2566" "8 #TikTok accounts to follow if you're tired of COVID misinformation https://t.co/1LoDmTuWkn https://t.co/maQagIWkHs" "RSA" "misinformation_tired" -2 "negative" 2 "(-3;-1]"
"2567" "FDA clears boosters for Moderna and J&amp;J COVID-19 vaccines https://t.co/WjRRh9JzhC https://t.co/WPNCOUf5s2" "RSA" "clears" 1 "positive" 1 "[1;3)"
"2570" "Ex-WR Thompkins guilty of COVID relief fraud https://t.co/LqNMRiKAzi #Sports https://t.co/jHslYW7A0G" "RSA" "fraud_guilty" -4 "negative" 2 "[-5;-3]"
"2571" "BREAKING: FDA approves use of any injection of any kind as an effective booster against COVID-19. https://t.co/b8raoHeEnp" "RSA" "approves_effective_kind" 2 "neutral" 3 "[1;3)"
"2580" "What to know about the risk of serious or fatal breakthrough COVID infections https://t.co/x4CujKo1DJ https://t.co/OQZuhYGtOV" "RSA" "breakthrough_risk" 0 "negative" 2 "0"
"2592" "Creators of HBO's 'Curb Your Enthusiasm' say COVID is no joke https://t.co/2CgugykDCX https://t.co/tmle9lYGqx" "RSA" "joke_no" 0 "neutral" 2 "0"
"2593" "@Percy_Golden I hate this and it never felt like this pre Covid" "RSA" "hate_like" 0 "neutral" 2 "0"
"2594" "#BFILondonFilmFestival Alerts Guests About Two Positive Covid Tests https://t.co/q0MXmQYe9D https://t.co/TbDyKPkcIC" "RSA" "positive" 2 "positive" 1 "[1;3)"
"2615" "@SharonLeeZapata Wrong.

https://t.co/HkUMDURkGk" "RSA" "wrong" -2 "negative" 1 "(-3;-1]"
"2623" "Chris Brown Calls Kyrie Irving 'Real Hero' For COVID-19 Vax Stance https://t.co/PUJP08WFlU https://t.co/tyhsL5rJB3" "RSA" "hero" 2 "positive" 1 "[1;3)"
"2633" "The U.S. is ready to roll out the COVID vaccine once it's approved for kids age 5-11 https://t.co/1nKvlYIluS https://t.co/XgzsyPKpix" "RSA" "approved" 2 "positive" 1 "[1;3)"
"2636" "New story on #NPR: The U.S. is ready to roll out the COVID vaccine once it's approved for kids age 5-11 https://t.co/Nj5ChWeDS7" "RSA" "approved" 2 "positive" 1 "[1;3)"
"2641" "Mayorkas hearing postponed after DHS secretary tests positive for COVID-19 https://t.co/7rw710cWpx https://t.co/4LMeEWeIN6" "RSA" "positive_postponed" 0 "positive" 2 "0"
"2643" "@PatriotBabe A friend of mine had the vaccine a few months ago, and yesterday tested positive for covid." "RSA" "positive" 2 "positive" 1 "[1;3)"
"2652" "'Please don't listen to the despicable anti-vaxxers - go and get your Covid booster' https://t.co/FDbajVDd9m https://t.co/uZ0PpMuEU2" "RSA" "anti_please" 0 "negative" 2 "0"
"2657" "Just HOW badly has the Wolverhampton Covid lab testing blunder affected Britain's outbreak? https://t.co/P7A3zcMgQm https://t.co/H6ucb7q4dv" "RSA" "affected_badly" -2 "negative" 2 "(-3;-1]"
"2665" "The U.S. is ready to roll out the COVID vaccine once it's approved for kids age 5-11 https://t.co/1ewF10ffga https://t.co/MxtfnH4eLa" "RSA" "approved" 2 "positive" 1 "[1;3)"
"2666" "New story on #NPR: The U.S. is ready to roll out the COVID vaccine once it's approved for kids age 5-11 https://t.co/UlJ4Ibrtpd" "RSA" "approved" 2 "positive" 1 "[1;3)"
"2671" "@NBC29 I wouldn't go to see you if the tickets were free.  I don't want covid, that's why." "RSA" "free_want" 1 "positive" 2 "[1;3)"
"2674" "@GLFOP Covid 19 is number 1 cause of death for police officers. A vaccine is just as important as a vest" "RSA" "death_important" 0 "neutral" 2 "0"
"2686" "@DonEngland17 @DrEricDing Covid causes death." "RSA" "death" -2 "negative" 1 "(-3;-1]"
"2709" "Free-State Covid-19 Update https://t.co/f9pn1uCk25" "RSA" "free" 1 "positive" 1 "[1;3)"
"2718" "Death, no matter how sad y'all act when covid hit man's were praying for their lives literally https://t.co/gEKzNgzaXH" "RSA" "death_matter_no_praying_sad" -1 "negative" 5 "(-3;-1]"
"2723" "@eNCA But with Zizi, Oscar and lotters of Covid funds you protect" "RSA" "protect" 1 "positive" 1 "[1;3)"
"2732" "@KnabeWolf Vigorously or like covid cough kinda lives" "RSA" "like" 2 "positive" 1 "[1;3)"
"2740" "@MorningLiveSABC i don't think it will be a good idea to ease the regulation after what is happening in UK abt covid 19 the return!!!" "RSA" "ease_good" 2 "positive" 2 "[1;3)"
"2748" "Emergency Covid powers are extended for ANOTHER six months https://t.co/vS6QrGr8bA https://t.co/CmuQyYVp8r" "RSA" "emergency" -2 "negative" 1 "(-3;-1]"
"2749" "Head of NHS Amanda Pritchard says complacency to blame for slow Covid booster jab rollout https://t.co/sHq2NvHNSh https://t.co/v49erONGaO" "RSA" "blame" -2 "negative" 1 "(-3;-1]"
"2753" "They swore to do no harm, but these doctors are sowing doubt about Covid vaccines https://t.co/tKhMjGjVqB #NEWS https://t.co/EBU6TPijpT" "RSA" "doubt_harm_no" -1 "negative" 3 "(-3;-1]"
"2754" "In the new COVID-1984 era a good memory is an inconvenience." "RSA" "good_inconvenience" 0 "neutral" 2 "0"
"2758" "Fox News anchor tests positive for Covid-19 https://t.co/e6JZFZ0vBP #NEWS https://t.co/VzJMmrd4BG" "RSA" "positive" 2 "positive" 1 "[1;3)"
"2759" "Analysis: Mix and match Covid vaccine policy would provide two advantages https://t.co/u4lJohgGQM #NEWS https://t.co/pkNopRHJDe" "RSA" "advantages" 2 "positive" 1 "[1;3)"
"2763" "#FoxNews Anchor #NeilCavuto Off the Air After Positive COVID Test https://t.co/vjIuAdFSOt https://t.co/CHGfUvQN4z" "RSA" "positive" 2 "positive" 1 "[1;3)"
"2770" "@Abramjee Openng to those who are fully vaxxed.. better stick to reporting crime..ths covid thing is not for you.. https://t.co/RNfDGLVPxO" "RSA" "better_crime" 0 "neutral" 2 "0"
"2772" "@benedictecallan @j_g_allen @PostOpinions I think his proposal makes more sense considering the risks of covid to school age children." "RSA" "risks" -2 "negative" 1 "(-3;-1]"
"2774" "Analysis | Covid-19 has killed more active-duty police officers than 9/11 did https://t.co/9BSqrVGhAW" "RSA" "active_killed" -1 "negative" 2 "(-3;-1]"
"2776" "#NeilCavuto Says He Has Tested Positive For #Covid19 https://t.co/QP3Juf8eto https://t.co/1a6Jmdzf75" "RSA" "positive" 2 "positive" 1 "[1;3)"
"2778" "'Dangerously complacent Government must wake up before Covid restrictions return' https://t.co/43TIrx9ctU https://t.co/eQnuS66XJr" "RSA" "complacent" -2 "negative" 1 "(-3;-1]"
"2779" "@politvidchannel Sorta like MTG's baseless claims about the covid vaccine leading to unnecessary deaths of children." "RSA" "like" 2 "neutral" 1 "[1;3)"
"2788" "Southwest delays plan to put unvaccinated employees on unpaid leave in December https://t.co/VCOLaeG3bX #HRVA https://t.co/7FdDaCyDgj" "RSA" "leave" -1 "negative" 1 "(-3;-1]"
"2796" "@MzwaneleManyi Now that covid-19 cases are under control, mannyi is worried" "RSA" "worried" -3 "negative" 1 "[-5;-3]"
"2797" "How Jordyn Woods helped Karl-Anthony Towns with losing 8 relatives to COVID https://t.co/0tGUg7XVRT #SM https://t.co/AfzccdWbvs" "RSA" "losing" -3 "neutral" 1 "[-5;-3]"
"2802" "Homeland Security secretary tests positive for Covid-19 https://t.co/GWnrdiQesM #NEWS https://t.co/22MkPHgCeD" "RSA" "positive" 2 "positive" 1 "[1;3)"
"2803" "DHS Secretary Mayorkas tests positive for COVID-19, days after event with Biden https://t.co/dVdagZsXHq https://t.co/RsWPLw2rU3" "RSA" "positive" 2 "positive" 1 "[1;3)"
"2812" "@janeheller1 He had cancer as well as covid" "RSA" "cancer" -1 "neutral" 1 "(-3;-1]"
"2813" "Covid: Moscow imposes new restrictions as infections soar https://t.co/5YO1rB8ABZ #NEWS https://t.co/VoKqnGSGLq" "RSA" "imposes" -1 "negative" 1 "(-3;-1]"
"2816" "Front-line health care worker shortage due to COVID-19 vaccine mandates, burnout https://t.co/v87XYwFM6T https://t.co/J0YPWARwUX" "RSA" "care_shortage" 0 "negative" 2 "0"
"2824" "Herman Cain died of COVID not cancer because he was a bad guy.

Colin Powell died of cancer not COVID because he is a good guy." "RSA" "bad_cancer_died_good" -1 "negative" 4 "(-3;-1]"
"2829" "Opinion: Colin Powell showed that even the bravest are vulnerable https://t.co/RQuvZZ9UfE #NEWS https://t.co/0Uf30FhjjD" "RSA" "vulnerable" -2 "negative" 1 "(-3;-1]"
"2830" "I know Covid is real, but I refuse to stress about it." "RSA" "refuse" -2 "negative" 1 "(-3;-1]"
"2832" "It's kinda crazy how Covid waves can be predicted like it's a weather condition." "RSA" "crazy_like" 0 "neutral" 2 "0"
"2833" "@bidemiistired @Mthokoz63209439 Covid killing them all!" "RSA" "killing" -3 "negative" 1 "[-5;-3]"
"2835" "MPs extend Covid powers to March 2022 as Boris Johnson avoids Tory revolt https://t.co/38WXgl9rZh https://t.co/80c9XWsOfQ" "RSA" "avoids_extend" 0 "negative" 2 "0"
"2836" "@OccupyDemocrats Good. Nobody who has to sit in a police car for any reason should have to worry about catching COVID in the enclosed space." "RSA" "good_worry" 0 "neutral" 2 "0"
"2846" "@Queen__tee Man i caught that joint and thought i had covid for sure! Had damn near all the symptoms and yet my results came back negative" "RSA" "damn_negative" -3 "negative" 2 "[-5;-3]"
"2849" "COVID Nasal Swabs Examined by Scientists Reveal DANGER https://t.co/LmkhUKEOLV via @redvoicemedias" "RSA" "danger" -2 "negative" 1 "(-3;-1]"
"2855" "Mixing vaccine brands should be safe, former COVID testing chief says https://t.co/w4K8vdrmit #HRVA https://t.co/upPP0qvQJB" "RSA" "safe" 1 "positive" 1 "[1;3)"
"2857" "@covid_19nurse @mmpadellan LoL good luck with that" "RSA" "good_lol_luck" 3 "positive" 3 "[3;5]"
"2859" "Wash. St. Football Head Coach Nick Rolovich Fired For Refusing Vaccine https://t.co/aUdcw0D9fc https://t.co/WWw8iShLOr" "RSA" "fired_refusing" -2 "negative" 2 "(-3;-1]"
"2867" "Tuberculosis, Like Covid, Spreads in Aerosols, Scientists Report https://t.co/PmFZSFwATE" "RSA" "like" 2 "positive" 1 "[1;3)"
"2869" "New Delta Plus Covid strain is being kept under 'close watch', Downing Street warns https://t.co/10dGr9XtdY https://t.co/CMjyWNHvCV" "RSA" "warns" -2 "negative" 1 "(-3;-1]"
"2871" "the #covid threat, in perspective  https://t.co/GMkftkXr7V" "RSA" "threat" -2 "negative" 1 "(-3;-1]"
"2886" "Nick Rolovich: Washington State football coach fired for refusing Covid vaccine https://t.co/1pAEVA1M6N #NEWS https://t.co/PauJIn0MV1" "RSA" "fired_refusing" -2 "negative" 2 "(-3;-1]"
"2887" "Nearly 5MILLION vulnerable over-50s have yet to have their Covid booster vaccine https://t.co/O0NHC836n9 https://t.co/S4d13Sgyah" "RSA" "vulnerable" -2 "negative" 1 "(-3;-1]"
"2897" "Army veteran on trial in Belfast over Troubles killing dies with Covid-19 https://t.co/AiNvpQt0r5 #NEWS https://t.co/yhHE4gPEoY" "RSA" "killing_troubles" -2 "negative" 2 "(-3;-1]"
"2900" "Anger as frail British Army veteran, 80, dies after catching Covid during trial https://t.co/r1phvoMIL8 https://t.co/bTmwnz6UqB" "RSA" "anger" -3 "negative" 1 "[-5;-3]"
"2902" "British Army veteran on trial over Troubles killing dies after catching Covid-19 https://t.co/DHn3LqvXr7 https://t.co/HdppNMXrLQ" "RSA" "killing_troubles" -2 "negative" 2 "(-3;-1]"
"2909" "Living Legend Smokey Robinson Breaks His Silence About His Battle With COVID-19 https://t.co/LaB7yzlNjq" "RSA" "battle" -1 "negative" 1 "(-3;-1]"
"2912" "Washington State head football coach ousted after refusing Covid-19 vaccine https://t.co/Vd2jZDoTPU #NEWS https://t.co/UCc63yd9Vy" "RSA" "refusing" -2 "negative" 1 "(-3;-1]"
"2916" "He had been fully vaccinated before his death.  https://t.co/3bL9xkBOsB" "RSA" "death" -2 "negative" 1 "(-3;-1]"
"2930" "More than a third of UK music industry workers lost jobs in 2020 https://t.co/ab6NTPPGPF #NEWS https://t.co/UWy5zWq12n" "RSA" "lost" -3 "negative" 1 "[-5;-3]"
"2948" "Sharks' Evander Kane suspended 21 games over fake COVID-19 vax card https://t.co/9P7Egis5ML https://t.co/z4LdF7TxYX" "RSA" "fake_suspended" -2 "negative" 2 "(-3;-1]"
"2954" "Evander Kane Suspended 21 Games For Breaking NHL COVID Policy https://t.co/OZIUdFsBWT https://t.co/OlkwW6MaMt" "RSA" "suspended" -1 "negative" 1 "(-3;-1]"
"2955" "@tyler_posting @Al_Horford He got COVID a few days after JB too, they said he feeling good tho" "RSA" "feeling_good" 2 "positive" 2 "[1;3)"
"2957" "Can y'all like stop testing for covid? I would like to have a proper festive this year ffs..." "RSA" "festive_like_stop" 1 "positive" 3 "[1;3)"
"2966" "CDC places ultramodern city-state at highest travel risk for Covid-19 https://t.co/7m6u9Jh3uV #NEWS https://t.co/b06O22mQ7T" "RSA" "risk" -2 "negative" 1 "(-3;-1]"
"2974" "Officials and experts worry about COVID-19 and kids, hopeful for vaccine soon https://t.co/u1hcbeRXNL #HRVA https://t.co/SNmNugZSYG" "RSA" "hopeful_worry" 0 "neutral" 2 "0"
"2976" "Compared to COVID-19, how many people has the vaccine killed? https://t.co/KGJyJj4e1P" "RSA" "killed" -3 "negative" 1 "[-5;-3]"
"2977" "@SamuelWax97 @MichaelPSenger But why are they wanting to label it Covid death if he was fully jabbed?" "RSA" "death" -2 "negative" 1 "(-3;-1]"
"2996" "Why vaccinated people dying from Covid-19 doesn't mean the vaccines are ineffective https://t.co/agvalp8ZpR #NEWS https://t.co/KP2xQ3MT8x" "RSA" "ineffective" -2 "negative" 1 "(-3;-1]"
"3002" "Analysis: Halloween Covid scare forces Shanghai Disneyland into lockdown https://t.co/QhhWlWXVmb #NEWS https://t.co/P72vtO4WPC" "RSA" "scare" -2 "negative" 1 "(-3;-1]"
"3005" "Panic, lockdown and a rush to vaccinate in Tonga as first Covid case recorded https://t.co/VaI0yE00E3 #NEWS https://t.co/WwHlZfOR0P" "RSA" "panic" -3 "negative" 1 "[-5;-3]"
"3006" "Scenes of joy as Australia's international travel restarts after nearly 20 months https://t.co/PTwvwLAmn5 #NEWS https://t.co/Af9IDcSNQg" "RSA" "joy" 3 "positive" 1 "[3;5]"
"3016" "The regrets of the unvaccinated: why Covid-bereaved families are speaking out https://t.co/6JRcM7xSH2 #NEWS https://t.co/lbzQgs3YwP" "RSA" "bereaved_regrets" -2 "negative" 2 "(-3;-1]"
"3018" "China grows more isolated as Asia Pacific neighbors start living with Covid-19 https://t.co/Pos9l7cx16 #NEWS https://t.co/XBkWlXxyFU" "RSA" "isolated" -1 "negative" 1 "(-3;-1]"
"3022" "@PressSec Will President Poopy Pants condemn the Covid concentration camps in New Zealand?! #letsgobrandon" "RSA" "condemn" -2 "negative" 1 "(-3;-1]"
"3024" "Top-up Covid vaccines will be available to over-50s without appointment https://t.co/M6oqXApw4m https://t.co/GnYUQPq7PC" "RSA" "top" 2 "positive" 1 "[1;3)"
"3026" "@realMikeHanson Maybe? It seems like everything is a symptom of Covid!" "RSA" "like" 2 "neutral" 1 "[1;3)"
"3029" "L.A. County Reports 11 New #Covid19 Deaths And 1,118 New Positive Cases https://t.co/nSsZLdZimM https://t.co/GuEYd545EI" "RSA" "positive" 2 "positive" 1 "[1;3)"
"3030" "@808constituent Sad. Kid's risk from Covid, as close to zero as you can get..." "RSA" "risk_sad" -2 "negative" 2 "(-3;-1]"
"3038" "Jon Bon Jovi tests positive for breakthrough COVID-19 case, is 'feeling fine' https://t.co/PyoS97KafY https://t.co/FQgxUKgGgw" "RSA" "breakthrough_feeling_fine_positive" 2 "positive" 4 "[1;3)"
"3040" "Every good wish to @PressSec, hoping she will rest this week; even 'mild' breakthrough #COVID19 can be exhausting.  https://t.co/L3FyQ5JYC2" "RSA" "breakthrough_good_hoping_wish" 2 "positive" 4 "[1;3)"
"3042" "#WhiteHousePressSecretary #JenPsaki Tests Positive For #Covid19 https://t.co/LlwZ70ye45 https://t.co/EwP0p4roeG" "RSA" "positive" 2 "positive" 1 "[1;3)"
"3045" "White House Press Secretary Jen Psaki Positive for COVID https://t.co/kSyyNTfjyO https://t.co/ekMFrOVafj" "RSA" "positive" 2 "positive" 1 "[1;3)"
"3046" "White House Press Secretary Jen Psaki Tests Positive for COVID-19 https://t.co/J15GoLZuR3 https://t.co/yzMxSVDjgq" "RSA" "positive" 2 "positive" 1 "[1;3)"
"3049" "Jen Psaki, White House press secretary to Joe Biden, tests positive for Covid https://t.co/LaUnR8lji6 #NEWS https://t.co/TFv0DClAB6" "RSA" "positive" 2 "positive" 1 "[1;3)"
"3055" "Jen Psaki tests positive for COVID-19 https://t.co/zKwtJSFprp https://t.co/LnLRvulFfi" "RSA" "positive" 2 "positive" 1 "[1;3)"
"3056" "Psaki tests positive for Covid, last saw Biden Tuesday https://t.co/br7saTwUCh #NEWS https://t.co/UKYOC7kFYK" "RSA" "positive" 2 "positive" 1 "[1;3)"
"3057" "White House Press Secretary Jen Psaki has tested positive for COVID. 

https://t.co/GW9Vhenpzi" "RSA" "positive" 2 "positive" 1 "[1;3)"
"3067" "@bethanyshondark Read the CDC statement about immunity from a case of COVID v. immunity via vaccine. The vaccine is about 5x better." "RSA" "better" 2 "positive" 1 "[1;3)"
"3072" "@zsimayi Refused to get vaccinated. Campaigned against the vaccine. Apparently he was hospitalised due to CoVID" "RSA" "refused" -2 "negative" 1 "(-3;-1]"
"3074" "Singer Job Bon Jovi cancels a concert after testing positive for Covid-19 https://t.co/MR3tqCZSDY #NEWS https://t.co/S84CtA4Exr" "RSA" "cancels_positive" 0 "positive" 2 "0"
"3079" "Science is daily making phenomenal discoveries, yet we have people who are questioning science of @covid-19 vaccine. https://t.co/3RGQ40JyFS" "RSA" "questioning" -1 "positive" 1 "(-3;-1]"
"3083" "#JonBonJovi, #BryanAdams Cancel Shows After Positive COVID Tests https://t.co/ZSzE1ObLeg https://t.co/KKwv9AAKrL" "RSA" "cancel_positive" 0 "positive" 2 "0"
"3086" "He's a Biden-supporting Democrat. Of course he lies about COVID https://t.co/1zyvKOa0be" "RSA" "supporting" 1 "neutral" 1 "[1;3)"
"3088" "May the best Covid win https://t.co/8qAp66ILUN" "RSA" "best_win" 4 "positive" 2 "[3;5]"
"3095" "@GeorgeTakei 700,000+ dead from COVID. Those are mass murder numbers" "RSA" "dead_murder" -2 "negative" 2 "(-3;-1]"
"3100" "@CarolinaGirlGen Yesterday, I gave my first in-person presentation since Covid! It felt GREAT! #happydance #genealogy #ncgenealogy" "RSA" "great" 3 "positive" 1 "[3;5]"
"3101" "Jon Bon Jovi Backs Out of Miami Concert After Testing Positive for COVID https://t.co/C95xYa26ZY https://t.co/XopIN36LsY" "RSA" "backs_positive" 2 "positive" 2 "[1;3)"
"3105" "Disappointing economic growth proves Covid remains the biggest problem for Joe Biden https://t.co/GI0KaIxu8M #NEWS https://t.co/me8XoNIrNr" "RSA" "disappointing_growth_problem" -1 "negative" 3 "(-3;-1]"
"3120" "#JonBonJovi, #BryanAdams Pull From Events After Testing Positive For Covid-19 https://t.co/YcJh6qNrCZ https://t.co/Rra8KzPXgR" "RSA" "positive" 2 "positive" 1 "[1;3)"
"3123" "Boris Johnson stresses importance of Covid booster jabs https://t.co/hCkCoMdbDH #NEWS https://t.co/UPETSzPzTS" "RSA" "importance" 2 "negative" 1 "[1;3)"
"3126" "Jon #BonJovi Tests Positive for #COVID Right Before Scheduled Performance in Miami https://t.co/ppG5z6DMb9 https://t.co/53J343cyjq" "RSA" "positive" 2 "positive" 1 "[1;3)"
"3128" "The COVID rules are not for the RICH. SO get RICH people https://t.co/3wSZw0rn4m" "RSA" "rich" 2 "positive" 1 "[1;3)"
"3131" "#JonBonJovi Tests Positive for COVID-19, Cancels Miami Appearance https://t.co/zHGojtvpQI https://t.co/NBaeiRwCkA" "RSA" "cancels_positive" 0 "positive" 2 "0"
"3134" "He had two bad games that were clearly COVID recovery induced. Just a completely different bounce in his step" "RSA" "bad_clearly" -1 "positive" 2 "(-3;-1]"
"3153" "Bears coach Matt Nagy to miss 49ers game because of COVID-19 https://t.co/OGJMQSANqJ https://t.co/TQcVk9eqiO" "RSA" "miss" -2 "negative" 1 "(-3;-1]"
"3168" "@thehouseofpod My perfectly healthy mother also got her COVID-19 vaccine, 12 hours later: https://t.co/Lx56zdfxvU" "RSA" "healthy_perfectly" 2 "positive" 2 "[1;3)"
"3170" "Good for you @billmaher. You finally got Fox to like you. And who is afraid of Trump?? https://t.co/gC1KjjjYLV" "RSA" "afraid_good_like" 1 "positive" 3 "[1;3)"
"3176" "Israeli study: COVID booster shots 92% effective at preventing serious illness https://t.co/PRlMGnqOWB via @timesofisrael" "RSA" "effective_illness_preventing" 0 "neutral" 3 "0"
"3179" "@lurkernonumbers @JamesSurowiecki Actually I know someone who died of COVID and that was, from what I heard, the 2nd time he had it." "RSA" "died" -3 "negative" 1 "[-5;-3]"
"3184" "@CNN Great Idea! Not! Pay them to not get the vaccine and pass COVID around. Sheesh!" "RSA" "great_pay" 1 "positive" 2 "[1;3)"
"3185" "Who Had Covid-19 Vaccine Breakthrough Cases? - The New York Times https://t.co/h25q9ucVbM" "RSA" "breakthrough" 3 "positive" 1 "[3;5]"
"3194" "COVID-19's 5 million dead honored with memorials worldwide https://t.co/wmjhdmocaD https://t.co/n8OAQxdxPi" "RSA" "dead_honored" 0 "neutral" 2 "0"
"3197" "G20: Climate and Covid top agenda as world leaders meet https://t.co/dIwEKfIcbL #NEWS https://t.co/EUGlWCQyTT" "RSA" "top" 2 "positive" 1 "[1;3)"
"3210" "Strictly Come Dancing's most cursed season as illness and Covid wreak havoc https://t.co/cZTw1rsrAA https://t.co/VvLyHpXsC0" "RSA" "havoc_illness" -2 "negative" 2 "(-3;-1]"
"3211" "New virus variant on the loose https://t.co/uj0c2b3jLv" "RSA" "loose" -3 "negative" 1 "[-5;-3]"
"3213" "'I fear we are failing': Some young people question adults' behavior during pandemic https://t.co/c469zz7oqF #NEWS https://t.co/QkgrHjnjv6" "RSA" "failing_fear" -2 "negative" 2 "(-3;-1]"
"3220" "Supreme Court refuses to block Maine's COVID-19 vaccine mandate for health care workers https://t.co/uNrOpQUONd https://t.co/xAucxIoyfY" "RSA" "block_care" 0 "neutral" 2 "0"
"3235" "For displaced people, Covid-19 has even more dangers. The G20 must help them | Letter https://t.co/C4i1e7kIb5 #NEWS https://t.co/hXzQPbqtwp" "RSA" "help" 2 "negative" 1 "[1;3)"
"3241" "Disadvantaged pupils in England lag behind in Covid learning catch-up https://t.co/PzS8UvNV7T #NEWS https://t.co/SXSAP7dNaB" "RSA" "disadvantaged_lag" -2 "negative" 2 "(-3;-1]"
"3242" "@gannycoz I took covid 19 vaccine shot today.
Worst decision ever made. My body is failing me" "RSA" "failing_worst" -2 "negative" 2 "(-3;-1]"
"3246" "New #CDC Data: Covid-19 Vaccine Provides Stronger Protection Than Natural #Immunity https://t.co/1V4rTzfCxE https://t.co/QpU8L7JWVI" "RSA" "natural_stronger" 2 "positive" 2 "[1;3)"
"3249" "He is rich but covid does not care. https://t.co/lohc4sEZ29" "RSA" "care_rich" 2 "positive" 2 "[1;3)"
"3250" "FDA clears Pfizer COVID-19 vaccine for kids ages five to 11 https://t.co/w7JKj76GNI https://t.co/YrgzCMkLNI" "RSA" "clears" 1 "positive" 1 "[1;3)"
"3261" "Strictly's Judi Love 'WILL return to the dance floor this week after contracting Covid-19' https://t.co/qITFzIgEDC https://t.co/z51BqjJmld" "RSA" "love" 3 "positive" 1 "[3;5]"
"3272" "Strictly's Judi Love announces she's returning to show after Covid battle https://t.co/dJ8Gc46rbY https://t.co/mEovywh5WX" "RSA" "battle_love" 1 "positive" 2 "[1;3)"
"3275" "Clearly COVID-19 it's a thing of the past. https://t.co/Q3u6xBAx8f" "RSA" "clearly" 1 "positive" 1 "[1;3)"
"3279" "Scam alert: Beware this dangerous pandemic related #Facebook #scam
https://t.co/JKWU0smukx https://t.co/U74DmbtjV1" "RSA" "alert_scam" -2 "negative" 2 "(-3;-1]"
"3280" "@karol @GovRonDeSantis @nypost I suppose letting people die off from Covid is one way to lower the case rate.  . ." "RSA" "die" -3 "negative" 1 "[-5;-3]"
"3281" "UK's Covid cases fall... AGAIN: Britain posts 43,467 positive tests in 12% week-on-week drop https://t.co/KfOkJHhSjQ https://t.co/Y45qA7We3B" "RSA" "drop_positive" 0 "neutral" 2 "0"
"3282" "#Kiss Crew Members Blame Guitar Tech Death on Lax COVID Protocols https://t.co/AgHP6eZNpC https://t.co/iTOZ0lPpA7" "RSA" "blame_death_kiss" -1 "negative" 3 "(-3;-1]"
"3285" "@MzimkhuluKsto @MtwanaXabiso @Julius_S_Malema Your whaks are wasting time, they need to arrest ANC for stealing covid-19 money." "RSA" "arrest_wasting" -2 "negative" 2 "(-3;-1]"
