"Tweet" "City" "Words" "AFScore" "BingScore" "NumWords" "AFINNcats"
"1770" "@Kaabwe Like those Covid relief funds (R350). Yes they do help but yeer! Most of it is spend on alcohol." "DBN" "help_like_yes" 2 "positive" "3" "[1;3)"
"1787" "And the sad part is it's not because of covid. They were already dying from 2019. It was already bad. https://t.co/NXxRWgpS6i" "DBN" "bad_sad" -2 "negative" "2" "(-3;-1]"
"1788" "@SizweDhlomo And the sad part is it's not because of covid. They were already dying from 2019. It was already bad." "DBN" "bad_sad" -2 "negative" "2" "(-3;-1]"
"1803" "Guessing the only reason Winks starts is that due to covid we have all lost our minds." "DBN" "lost" -3 "negative" "1" "[-5;-3]"
"1808" "@tito_mboweni Covid-19 virus is very smart, it doesn't sit on elbows" "DBN" "smart" 1 "neutral" "1" "[1;3)"
"1814" "Funny thing is that this #Covid_19 wasn't mutating before vaccine were started to be administered https://t.co/1tE8ck4zhy" "DBN" "funny" 4 "negative" "1" "[3;5]"
"1833" "Denmark lifts all Covid restrictions as vaccinations top 80% https://t.co/wz0mywyL8u https://t.co/zYAc3Mgyb7" "DBN" "top" 2 "positive" "1" "[1;3)"
"1845" "@MegaChunkyBuns @chrissyclark_ You are very lucky. Covid 19 is very dangerous." "DBN" "lucky" 3 "neutral" "1" "[3;5]"
"1869" "@bad_tits I blame #BorisJohnson. He got Covid last year and passed it on to everyone else." "DBN" "blame" -2 "negative" "1" "(-3;-1]"
"1875" "The world was such a better place when it was the Illuminati having us in a chokehold instead of COVID https://t.co/mf9LTRH3So" "DBN" "better" 2 "positive" "1" "[1;3)"
"1898" "@jools_NE @PatriotUk85 Remember. Your vaccine passport will allow you to go to a nightclub whilst suffering from covid." "DBN" "allow_suffering" 0 "negative" "2" "0"
"1899" "@Miss_PhindiM Well done lv, nami I also had covid December it was horrible bt im still nt taking it" "DBN" "horrible" -3 "neutral" "1" "[-5;-3]"
"1905" "@sizwe_lance Ziyakhala ppl died of covid wathenga izimoto uboy" "DBN" "died" -3 "negative" "1" "[-5;-3]"
"1921" "The COVID-19 injections are the only product in the world whose failures are blamed on those who haven't taken the product. Its madness!!" "DBN" "blamed_failures_madness" -2 "negative" "3" "(-3;-1]"
"1947" "@homoviator777 @marcus_flex Prevents death and serious covid #fact" "DBN" "death_prevents" -2 "negative" "2" "(-3;-1]"
"1960" "@Eita_Olaa @Gobetse_M @eNCA Carry on we waiting what good beside reporting covid restrictions which planet are u from aibo awguli nje" "DBN" "good" 3 "positive" "1" "[3;5]"
"1962" "Don't prevent COVID-19 and die of HIV/Aids. Condomise https://t.co/PIsQHJOYTC" "DBN" "die_prevent" -2 "negative" "2" "(-3;-1]"
"1965" "Political parties warned to follow Covid-19 protocols when campaigning | https://t.co/yuSnb4jc7t https://t.co/Ip2YIRuLum" "DBN" "warned" -2 "negative" "1" "(-3;-1]"
"1976" "@eNCA But really now? A normal healthy kid has almost 100% chance to survive covid." "DBN" "chance_healthy" 2 "positive" "2" "[1;3)"
"1979" "Conspiracy theories about Covid/Vaccine are a character flaw for me.Ayikho into esoyikhuluma just cancel me pls." "DBN" "cancel_conspiracy" -2 "negative" "2" "(-3;-1]"
"2012" "@realmsabza @BDliveSA Once you witnessed the horrible Covid death of a family member, you will be pro-vakser par excellence." "JHB" "death_excellence_horrible" -1 "negative" "3" "(-3;-1]"
"2015" "@vngalwana COVID passports are oppressive and fascist" "JHB" "fascist_oppressive" -2 "negative" "2" "(-3;-1]"
"2016" "Dread at 30,000 feet: Inside the increasingly violent world of US flight attendants  https://t.co/e6bpir9IO8 via @CNNTravel" "JHB" "dread_violent" -2 "negative" "2" "(-3;-1]"
"2021" "Fake COVID-19 vaccination cards seized in Pittsburgh - WTAE Pittsburgh https://t.co/g2gjORwxXU https://t.co/mc8Xii397M" "JHB" "fake" -3 "negative" "1" "[-5;-3]"
"2033" "The most recent oppressive issue after Colonisation Apartheid Slavery Biological Warfare and Terrorism is Covid Vaccine." "JHB" "oppressive_slavery_warfare" -2 "negative" "3" "(-3;-1]"
"2059" "@nicolebsmith06 @ntsikimazwai Agreed, wrt covid not sufficient evidence to show its a solution, even the enforcers are confused" "JHB" "agreed_confused_solution" 0 "neutral" "3" "0"
"2078" "@theJessness I was afraid of Covid so I stayed home." "JHB" "afraid" -2 "negative" "1" "(-3;-1]"
"2081" "@weeyball @TheSeeker1962 If you do not believe that the pandemic is real you have clearly not lost someone to Covid!" "JHB" "clearly_lost" -1 "neutral" "2" "(-3;-1]"
"2084" "Why I support a Covid-19 vaccine requirement at UCT (Pa... https://t.co/xXbrhqFUn1" "JHB" "support" 2 "positive" "1" "[1;3)"
"2092" "@HeidiGiokos @Magda_Wierzycka Propaganda i know people who died after the jab who were Covid free." "JHB" "died_free_propaganda" -1 "negative" "3" "(-3;-1]"
"2106" "Pittsburgh CBP officers seize fake COVID vaccine cards shipped from China - Fox News https://t.co/pAr7wm24MG https://t.co/rk9JYMFVwZ" "JHB" "fake" -3 "negative" "1" "[-5;-3]"
"2124" "My grandmother was far worse after she took the vaccine than when she had covid. https://t.co/39TM6BmlKY" "JHB" "worse" -3 "negative" "1" "[-5;-3]"
"2128" "@BoetMuzzie @maka10000 @SAfmnews The words \"of covid\" are important in that sentence. It is called context." "JHB" "important_sentence" 0 "positive" "2" "0"
"2134" "@_marksandiso @GovernmentZA You can actually, from the vaccine injury fund. https://t.co/OuQe1kwSm9" "JHB" "injury" -2 "negative" "1" "(-3;-1]"
"2139" "OP-ED: The scar of science I cherish: Why I support a Covid-19 vaccine requirement at UCT (Part One) https://t.co/R0i4MnbiX8" "JHB" "cherish_support" 2 "positive" "2" "[1;3)"
"2144" "Calls have been made nationally for a protest against the possible plans for Covid-19 vaccine passports. https://t.co/Z2hKrwbhZM" "JHB" "protest" -2 "negative" "1" "(-3;-1]"
"2151" "@peeceepro Before the vaccine, I noticed people dying because of covid and nothing else...it's crazy" "JHB" "crazy" -2 "negative" "1" "(-3;-1]"
"2153" "Pittsburgh CBP officers seize fake COVID vaccine cards shipped from China - Fox News https://t.co/7KWr4aIJBI https://t.co/K7tY0BJLQ7" "JHB" "fake" -3 "negative" "1" "[-5;-3]"
"2173" "Using Ivermectin to beat covid is like saying we should take ketamine for pain" "JHB" "like_pain" 0 "neutral" "2" "0"
"2177" "@RuthS3 @ACE_UJ @Africa_evidence @PEERSS_Global @EvidenceComm @COVID_E_N_D @mediauj Great interview and mention of #AfricaEvidenceWeek2021" "JHB" "great" 3 "positive" "1" "[3;5]"
"2191" "@ZeroPlus_One Nope only a negative covid test" "JHB" "negative" -2 "negative" "1" "(-3;-1]"
"2193" "Having to go get tattoos done one man bc of Covid SUCKS" "JHB" "sucks" -3 "negative" "1" "[-5;-3]"
"2197" "Imperfect copies: Why #variants come from massive numbers of infections rather than #COVID19vaccines. https://t.co/o9dniDhgMO" "JHB" "imperfect" -2 "negative" "1" "(-3;-1]"
"2207" "The law and the greater good: Why I support a Covid-19 vaccine requirement at UCT (Part Two) https://t.co/iHtqEg2qjf" "JHB" "good_greater_support" 3 "positive" "3" "[3;5]"
"2208" "The scar of science I cherish: Why I support a Covid-19 vaccine requirement at UCT (Part One) https://t.co/Z9BZvTJW56" "JHB" "cherish_support" 2 "positive" "2" "[1;3)"
"2237" "@nunukhumalo @Thabethe_Ra @SAfmnews But Covid is the leading cause of death in SA. So the question is fair" "JHB" "death_fair" 0 "positive" "2" "0"
"2245" "@Richard_Spoor Stay locked up forever then because I and many others won't get the jab. Healing Covid is easy" "JHB" "easy" 1 "positive" "1" "[1;3)"
"2254" "@TwheetyBird Yeah, this person asked me for my opinion so I figured let me back up my opinion rather. Shame, she's terrified of Covid too." "JHB" "shame_terrified_yeah" -1 "negative" "3" "(-3;-1]"
"2258" "@catsatingalo @AmandaBlackSA Okay, according to you

What is the worst thing a covid vaccine will do to you?" "JHB" "worst" -3 "negative" "1" "[-5;-3]"
"2261" "@SAfmnews Hamba ngo line. Covid has been a blessing in disguise" "JHB" "blessing_disguise" 1 "positive" "2" "[1;3)"
"2263" "Two stunning maps show how rightwing politics &amp; COVID-19 are intertwined https://t.co/uo6WValfwW" "JHB" "stunning" 4 "positive" "1" "[3;5]"
"2264" "#RAMAPHOSA: NATIONAL STATE OF DISASTER WILL END WHEN ALL COVID MEASURES IN PLACE. #StateOfDisaster #COVID19 https://t.co/rFI6Hhfmxd" "JHB" "disaster" -2 "negative" "1" "(-3;-1]"
"2286" "Fake COVID-19 vaccination cards seized in Pittsburgh - WTAE Pittsburgh https://t.co/dGSPEYlEah https://t.co/WY2g0P6T14" "JHB" "fake" -3 "negative" "1" "[-5;-3]"
"2289" "Nearly all Fox staffers vaccinated for Covid even as hosts cast doubt on vaccine https://t.co/qz5YLagDE8" "JHB" "doubt" -1 "negative" "1" "(-3;-1]"
"2294" "@WendelBloem1 Personally I'm not anti Vax but this COVID-19 vaccine is questionable and I don't feel comfortable with it." "JHB" "anti_comfortable_questionable" 0 "neutral" "3" "0"
"2305" "@dumisane_ COVID IS THE PANDEMIC OF THE \"Scared Ones\" https://t.co/hKacHdkydx" "JHB" "scared" -2 "negative" "1" "(-3;-1]"
"2306" "Effective property finance in a post-Covid-19 Africa requires a new approach to capital structuring https://t.co/Ygm9NjU4Sw" "JHB" "effective" 2 "positive" "1" "[1;3)"
"2312" "Dis-Chem acts against staff who issued fraudulent Covid vaccination certificates https://t.co/6CgtATOOOE" "JHB" "fraudulent" -4 "negative" "1" "[-5;-3]"
"2319" "@FaheemYounus @Abramjee Got covid. Ivermectinised. Avoided the hospitals. I suffer from emphysema too. I should be dead, I'm not." "JHB" "avoided_dead_suffer" -2 "negative" "3" "(-3;-1]"
"2329" "OP-ED: The scar of science I cherish: Why I support a Covid-19 vaccine requirement at UCT (Part One) https://t.co/rkb1sTlVw3" "JHB" "cherish_support" 2 "positive" "2" "[1;3)"
"2332" "@dumisane_ No drunkard I know died from COVID. Only people who complied with Lockdown regulations died." "JHB" "died_no" -2 "negative" "2" "(-3;-1]"
"2333" "Where can I do these rapid covid tests for throats in johannesburg? I need it for an event. I don't want that thing in my nose please" "JHB" "please_want" 1 "positive" "2" "[1;3)"
"2338" "@WendelBloem1 A vaccine that took years to develop not this covid nonsense" "JHB" "nonsense" -2 "negative" "1" "(-3;-1]"
"2345" "@EpictetusU @SuperiorZulu Have you at least said thank you for being informed that covid is not the only thing killing people?" "JHB" "killing_thank" 0 "neutral" "2" "0"
"2376" "@Devandy10 I had Covid, i struggled with breathing 3 months after trying to do 5 kms and got very sick for about 4 days." "JHB" "sick_struggled" -2 "negative" "2" "(-3;-1]"
"2390" "The law and the greater good: Why I support a Covid-19 vaccine requirement at UCT (Part Two) https://t.co/yatdH9Hr1N" "JHB" "good_greater_support" 3 "positive" "3" "[3;5]"
"2393" "OP-ED: The scar of science I cherish: Why I support a Covid-19 vaccine requirement at UCT (Part One) https://t.co/yzyQEBc7u0" "JHB" "cherish_support" 2 "positive" "2" "[1;3)"
"2429" "@eNCA @SikiGeyaMdingi @TheRealClementM A lot of people I know died during the 2nd and 3rd wave for me to play around with Covid" "JHB" "died" -3 "negative" "1" "[-5;-3]"
"2449" "@TheRealPro7 You know why covid yi scam nje." "JHB" "scam" -2 "negative" "1" "(-3;-1]"
"2452" "@WendelBloem1 Even if we vaccinated before we still have a right to no choose to vaccinate against COVID-19." "JHB" "no" -1 "positive" "1" "(-3;-1]"
"2475" "@MfokaMqulusi @JustNqaba March 2020 till to date. I lost a 10 mill contract because of covid https://t.co/IPrUzuJCAO" "JHB" "lost" -3 "negative" "1" "[-5;-3]"
"2476" "BOITUMELO SEMETE-MAKOKOTELA: SA medicines regulator streamlines approval process for Covid-19 vaccines https://t.co/P6vqDZs4Xh" "JHB" "approval" 2 "positive" "1" "[1;3)"
"2483" "@SiphoMgwezan @rsa_trucker Yahh neeh\" people who still believe COVID exists they're in trouble yooh" "JHB" "trouble" -2 "negative" "1" "(-3;-1]"
"2484" "@abednego82 @_sinegugum he went too far, worse she is pregnant what if she is carrying a child who will find covid cure, naa we can't risk" "JHB" "risk_worse" -2 "negative" "2" "(-3;-1]"
"2485" "COVID-19 kills Americans at a rate of 1 in 500, data shows - Fox News https://t.co/AxfmI3QmPn https://t.co/bONLEdgsgo" "JHB" "kills" -3 "negative" "1" "[-5;-3]"
"2487" "Is it true that when celebrating birthday COVID does not attack?" "JHB" "attack_celebrating_true" 1 "negative" "3" "[1;3)"
"2488" "Anti-Vaccine Activist Who Said 'There's No Epidemic' Dies of COVID - Newsweek https://t.co/9CF5W6EVAq https://t.co/4Nnxjg5Ymj" "JHB" "anti_no" -1 "negative" "2" "(-3;-1]"
"2492" "BOITUMELO SEMETE-MAKOKOTELA: SA medicines regulator streamlines approval process for Covid-19 vaccines https://t.co/UzEf41kSlJ" "JHB" "approval" 2 "positive" "1" "[1;3)"
"2495" "There is already an informal settlement called \"COVID\".

Welcome to Cape Town." "JHB" "welcome" 2 "positive" "1" "[1;3)"
"2498" "Unvaccinated children suffering COVID impact, Americas health agency warns - Yahoo News https://t.co/iGIdGUnKFL https://t.co/yVSXlNbMPh" "JHB" "suffering_warns" -2 "negative" "2" "(-3;-1]"
"2503" "Four Dis-Chem temporary staff members have been arrested and criminally charged for providing fraudulent COVID vaccination certificates." "JHB" "arrested_charged_fraudulent" -3 "negative" "3" "[-5;-3]"
"2504" "Its the Covid fund relief and Food parcels they stole.
The ANC broke the record they went hard https://t.co/A7z1aSybFq" "JHB" "broke_hard" -1 "negative" "2" "(-3;-1]"
"2512" "Where can I go get a free Covid test done ?" "JHB" "free" 1 "positive" "1" "[1;3)"
"2526" "@WendelBloem1 We didn't have voices then... and I'm pretty .much sure it wasn't for Covid." "JHB" "pretty" 1 "positive" "1" "[1;3)"
"2528" "[WATCH] The A, B, Cs of rare &amp; severe #COVID19 #vaccine side-effects. https://t.co/KfJO8shCRl" "JHB" "severe" -2 "negative" "1" "(-3;-1]"
"2529" "@SthembiD Sorry girl plus I know the feeling yoh is out of this world, thinking you have COVID-19 you will drink anything that helps" "JHB" "feeling_helps_sorry" 1 "negative" "3" "[1;3)"
"2533" "Yet another one. Meanwhile, according to the @washingtonpost, 1 in 500 Americans have died of Covid!

SMH. https://t.co/PaV8WCx0xl" "JHB" "died" -3 "negative" "1" "[-5;-3]"
"2535" "Trinidad and Tobago says Nicki Minaj's bogus Covid-19 vaccine claims wasted its time https://t.co/VVf4SHBBXQ via @BusinessInsider" "JHB" "wasted" -2 "negative" "1" "(-3;-1]"
"2540" "@TheAfricanLege1 @main_man4 If Unvaxx people can agree to not use Hospital services when they get Covid then we good." "JHB" "agree_good" 2 "positive" "2" "[1;3)"
"2543" "Lol guys relax. This is just my life. Nothing to do with covid or anything like that." "JHB" "like_lol" 2 "positive" "2" "[1;3)"
"2554" "@AyandaMdunge7 @mkasithapelo @LisaMokoenaP @_TheeKweenin You'd still catch COVID-19 and die. That's a fact" "JHB" "die" -3 "negative" "1" "[-5;-3]"
"2555" "@ceciliamoloi @WHO has this really nice way where you can get some info....check it out babe 

https://t.co/3eLIeYXWN0" "JHB" "nice" 3 "positive" "1" "[3;5]"
"2558" "@FishChips1 @Brettbenraphael Covid might kill you. The good news is that Covid will take its time." "JHB" "good_kill" 0 "neutral" "2" "0"
"2561" "@Brettbenraphael 98 to 99 % of people who died from Covid were not vaccinated." "JHB" "died" -3 "negative" "1" "[-5;-3]"
"2565" "I am not feeling okay I hope that I didn't catch covid at Kwa Mai Mai that places was a mess" "JHB" "feeling_hope_mess" 0 "negative" "3" "0"
"2566" "@Mathebz The whole covid 19 loss and the owner's pension" "JHB" "loss" -3 "negative" "1" "[-5;-3]"
"2570" "Army lieutenant colonel resigns in protest of the 'Marxist' vaccine mandate https://t.co/9Vg2oVseuX" "JHB" "protest_resigns" -2 "negative" "2" "(-3;-1]"
"2575" "@peach_swamp @MWhalen1907 @JamesMelville Also herewith a nice write up that will help interpret the numbers better.

https://t.co/r09jJ2LbcV" "JHB" "better_help_nice" 2 "positive" "3" "[1;3)"
"2577" "@eNCA @TheRealClementM 2 years from now at the traffic light: Fake Covid passport free for you with a donation of R20" "JHB" "fake_free" -1 "neutral" "2" "(-3;-1]"
"2596" "@Lucia_lucey @anelemotswako @simphiwedana @HealthZA CoVID-19 Vaccine Injury Compenation Scheme. https://t.co/3UEM9xG9Jp" "JHB" "injury" -2 "negative" "1" "(-3;-1]"
"2615" "Imperfect copies: Why #variants come from massive numbers of infections rather than #COVID19vaccines. https://t.co/o9dniDyREm" "JHB" "imperfect" -2 "negative" "1" "(-3;-1]"
"2618" "2 years with someone, breakup, complete end of contact and covid loneliness at the same time. The next few months will be fun." "JHB" "fun" 4 "negative" "1" "[3;5]"
"2623" "Innovation the only lifeline for businesses amid Covid-19, says ICT entrepreneur https://t.co/VX9En7Ox8D" "JHB" "innovation" 1 "positive" "1" "[1;3)"
"2624" "@ntsikimazwai Afghanistan is covid free, hospitals only have cancer patients and injuries" "JHB" "cancer_free" 0 "neutral" "2" "0"
"2625" "Covid has really done us dirty.." "JHB" "dirty" -2 "negative" "1" "(-3;-1]"
"2626" "People still think covid is fake, must I show you my cousins death certificate? So confused" "JHB" "confused_death_fake" -2 "negative" "3" "(-3;-1]"
"2629" "Great to see actual liberals, like @jimmy_dore, tackling the weaponisation of Covid with Dr Malone https://t.co/FQbNsIXzH7" "JHB" "great_like" 2 "positive" "2" "[1;3)"
"2640" "Some relationships are like Covid 19,
Everyday new cases..." "JHB" "like" 2 "positive" "1" "[1;3)"
"2641" "@JGNel1 Laat die hype oor covid eers klaar word.. Beplan miskien volgende jaar" "JHB" "die" -3 "negative" "1" "[-5;-3]"
"2645" "Panel discussion: Are Covid-19 vaccine passports fair? #VaccineRollOutSA #VaccinePassports https://t.co/Hc3tU3yNtv" "JHB" "fair" 2 "positive" "1" "[1;3)"
"2657" "Testing positive for COVID-19 will teach you life and thereafter you'll know thr true meaning of life." "JHB" "positive_true" 2 "positive" "2" "[1;3)"
"2660" "Really surprised the guy who said the earth was flat who likes doing his own research would be dumb about covid" "JHB" "dumb_likes" 0 "neutral" "2" "0"
"2665" "@GailSchimmel There's a difference between people are covid vaccine hesitant and \"anti- vaxxers\".  People have the right to be hesitant." "JHB" "anti_hesitant" -2 "negative" "2" "(-3;-1]"
"2667" "@Brettbenraphael https://t.co/zZm6NiVW6c
Best Explanation I&amp;apos;ve Seen About Why the Covid Jabs Are Killer Shots" "JHB" "best" 3 "neutral" "1" "[3;5]"
"2671" "1 in 500 Americans have died of covid. That is fucking terrifying! #vaccine https://t.co/9ykeYxKnyz" "JHB" "died_fucking" -4 "negative" "2" "[-5;-3]"
"2676" "Anti-vaxx leader's COVID death could have been avoided, says brother - The Jerusalem Post https://t.co/esOfRDPNZA https://t.co/HvVUUuZdLP" "JHB" "anti_avoided_death" -1 "negative" "3" "(-3;-1]"
"2682" "@Someones_One Best way to fight Covid symptoms too?" "JHB" "best_fight" 1 "neutral" "2" "[1;3)"
"2696" "Life insurance industry remains in good health, despite high Covid-19 claims https://t.co/hBQTpbYAX2" "JHB" "good" 3 "positive" "1" "[3;5]"
"2703" "Retail takes a knock in July due to Covid-19 restrictions and riots https://t.co/Ilc1MJ4Ckd" "JHB" "riots" -2 "negative" "1" "(-3;-1]"
"2704" "Retail takes a knock in July due to Covid-19 restrictions and riots https://t.co/fsPjsRKs1Q" "JHB" "riots" -2 "negative" "1" "(-3;-1]"
"2723" "Matriculants of the past 2 years have seen it all shame, now exams are being brought forward due to elections, after COVID." "JHB" "shame" -2 "negative" "1" "(-3;-1]"
"2725" "Read this fun and short #book today. You won't be sorry!
https://t.co/XqfDGzV1zU
#covid #romance #lovestory https://t.co/R8gqnkv8Gj" "JHB" "fun_romance_sorry" 2 "neutral" "3" "[1;3)"
"2730" "Dis-Chem acts against staff issuing fraudulent COVID jab certificates https://t.co/Mu6XnIFwp4" "JHB" "fraudulent" -4 "negative" "1" "[-5;-3]"
"2734" "Life insurance industry remains in good health, despite high Covid-19 claims https://t.co/6GP5nQvFqt" "JHB" "good" 3 "positive" "1" "[3;5]"
"2751" "@Ndakzen The person who used to manipulate the rand died of Covid" "JHB" "died" -3 "negative" "1" "[-5;-3]"
"2754" "@JonWithTheFace I have worked 12-12 as a Frontline worker with covid. Fuck all. Nothing to give. I am done" "JHB" "fuck" -4 "neutral" "1" "[-5;-3]"
"2760" "I am alive my leader. Just havent been well healthwise but it isnt Covid. Thanks for missing me LOL. https://t.co/E7a1uO3wde" "JHB" "alive_lol_missing_thanks" 1 "positive" "4" "[1;3)"
"2766" "Crude inventories at lowest since January 2020, though China may reverse trend and start stockpiling https://t.co/qfjsiVWGvd" "JHB" "lowest" -1 "negative" "1" "(-3;-1]"
"2774" "UIF urges employers to resolve errors on COVID-19 TERS portal. https://t.co/CljNXMU9hD via @BowThemes" "JHB" "errors_resolve" 0 "negative" "2" "0"
"2776" "Guys get vaxxed, long covid is not a joke" "JHB" "joke" 2 "negative" "1" "[1;3)"
"2777" "Is Israel's airport COVID-19 fiasco about to end? - The Jerusalem Post https://t.co/xXCOzDYgOL https://t.co/03kaE1N288" "JHB" "fiasco" -3 "negative" "1" "[-5;-3]"
"2778" "Anti-vaxx leader's COVID death could have been avoided, says brother - The Jerusalem Post https://t.co/CQNWOl5lU0 https://t.co/N7szETnRT4" "JHB" "anti_avoided_death" -1 "negative" "3" "(-3;-1]"
"2782" "Covid-19 mutation risk is huge as role of HIV complicates strategy https://t.co/XpshfsNRiU" "JHB" "huge_risk" 0 "negative" "2" "0"
"2788" "@Pastor__West @mxhosa_ Like what? Covid? Again?" "JHB" "like" 2 "positive" "1" "[1;3)"
"2805" "@LPeck1985 @PlantBaseK1 @BethanyCherisse \"I haven't met an angry covid-19 jabbed individual yet.\"  Oh you CANNOT be serious!" "JHB" "angry" -3 "negative" "1" "[-5;-3]"
"2806" "Covid-19 mutation risk is huge as role of HIV complicates strategy https://t.co/cbmU0yBnzx" "JHB" "huge_risk" 0 "negative" "2" "0"
"2807" "Terrifying - 1 in 500 Americans have died of COVID. What a terrible milestone. 

https://t.co/boZLA2CLCk" "JHB" "died_terrible" -3 "negative" "2" "[-5;-3]"
"2815" "Because unvaccinated people would become a burden to the health system when they do get Covid.. https://t.co/LAJfTGQWIV" "JHB" "burden" -2 "negative" "1" "(-3;-1]"
"2824" "SA's HIV epidemic raises risk of more Covid-19 variants https://t.co/3x5jA0Rqe4" "JHB" "risk" -2 "negative" "1" "(-3;-1]"
"2867" "I try not to cry but yoh Covid is vicious. Listening to what's facing African migrants and refugees in the LGBTQI community. eina." "JHB" "cry_vicious" -2 "negative" "2" "(-3;-1]"
"2870" "@HermanHmain I do believe in God, but I still got Covid. I believe that Jesus's blood saved me from eternal damnation." "JHB" "god_saved" 2 "negative" "2" "[1;3)"
"2886" "Anti-vaxx leader's COVID death could have been avoided, says brother - The Jerusalem Post https://t.co/wBa9c6GnFK https://t.co/vdpzFbC91S" "JHB" "anti_avoided_death" -1 "negative" "3" "(-3;-1]"
"2888" "He goes to prison after 30 years on the run. He is not ok  https://t.co/gbkNOeWZml" "JHB" "prison" -2 "negative" "1" "(-3;-1]"
"2912" "1 in 7 vaccinated Americans dumped friends over COVID shots, poll shows - New York Post https://t.co/dkQUvYZw9n https://t.co/9UA50cqxtC" "JHB" "dumped" -2 "negative" "1" "(-3;-1]"
"2921" "Life insurance industry remains in good health, despite high Covid-19 claims https://t.co/GFGKcLlgOb" "JHB" "good" 3 "positive" "1" "[3;5]"
"2938" "The #BarakFundManagement cannot blame the Covid-19 when the real pandemic is the corruption in its offices #ScamFund #OpenInvestigation" "JHB" "blame" -2 "negative" "1" "(-3;-1]"
"2949" "@SABCNews This woman is worse than covid

She's even in her kill regalia https://t.co/vKMgG3DWmI" "JHB" "kill_worse" -3 "negative" "2" "[-5;-3]"
"2954" "@Sammy_Sauce1 @ewnreporter @Xanderleigh_M You could be limited by covid restrictions" "JHB" "limited" -1 "negative" "1" "(-3;-1]"
"2960" "Life insurance industry remains in good health, despite high Covid-19 claims https://t.co/BPTmxuySCW" "JHB" "good" 3 "positive" "1" "[3;5]"
"2973" "Covid Variants Risk Rises in S. Africa With Biggest HIV Epidemic  https://t.co/KDsmiGdBbp" "JHB" "risk" -2 "negative" "1" "(-3;-1]"
"2976" "Alec Hogg: UK data: Covid mostly kills 80+, unvaccinated https://t.co/BMLxTFjYHN" "JHB" "kills" -3 "negative" "1" "[-5;-3]"
"2982" "@SoujiroUchiha @ComebackZA @SunflowerSrina How did you get to your statement regarding unvaccinated = Covid positive?" "JHB" "positive" 2 "positive" "1" "[1;3)"
"2984" "Anti-vaxx leader's COVID death could have been avoided, says brother - The Jerusalem Post https://t.co/Y4BsSrW7df https://t.co/QCYcKsB2s9" "JHB" "anti_avoided_death" -1 "negative" "3" "(-3;-1]"
